Sted,Land,Path ID,Path order,Latitude,Longitude,Pil
Algiers,Algeria,1,1,36.74,3.06,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(24,11,11)""/></svg>"
Brisbane,Australia,1,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Luanda,Angola,2,1,-8.84,13.23,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(8,11,11)""/></svg>"
Brisbane,Australia,2,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Gaborone,Botswana,3,1,-24.63,25.9,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(1,11,11)""/></svg>"
Brisbane,Australia,3,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Yaoundé,Cameroon,4,1,3.87,11.52,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(13,11,11)""/></svg>"
Brisbane,Australia,4,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Yamoussoukro,Côte d'Ivoire,5,1,6.82,-5.28,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(13,11,11)""/></svg>"
Brisbane,Australia,5,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Kinshasa,DR Congo,6,1,-4.32,15.32,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(10,11,11)""/></svg>"
Brisbane,Australia,6,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Cairo,Egypt,7,1,30.04,31.24,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(26,11,11)""/></svg>"
Brisbane,Australia,7,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Addis Ababa,Ethiopia,8,1,9.02,38.75,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(18,11,11)""/></svg>"
Brisbane,Australia,8,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
Accra,Ghana,9,1,5.56,-0.2,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 22 22""><polygon points=""3,10 13,10 13,7 19,11 13,15 13,12 3,12"" fill=""#0078d4"" transform=""rotate(13,11,11)""/></svg>"
Brisbane,Australia,9,2,-27.47,153.02,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 62 36""><circle cx=""9""  cy=""13"" r=""7"" fill=""none"" stroke=""#0081c8"" stroke-width=""2.5""/><circle cx=""23"" cy=""13"" r=""7"" fill=""none"" stroke=""#000""    stroke-width=""2.5""/><circle cx=""37"" cy=""13"" r=""7"" fill=""none"" stroke=""#ee334e"" stroke-width=""2.5""/><circle cx=""16"" cy=""23"" r=""7"" fill=""none"" stroke=""#fcb131"" stroke-width=""2.5""/><circle cx=""30"" cy=""23"" r=""7"" fill=""none"" stroke=""#00a651"" stroke-width=""2.5""/></svg>"
