Sted,Path ID,Path order,SVG_Flag,SVG_Afstand,Afstand
Prag,1,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""30"" height=""20"" fill=""#d7141a""/><rect width=""30"" height=""10"" fill=""#fff""/><polygon points=""0,0 15,10 0,20"" fill=""#11457e""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">630 km</text></svg>",630 km
København,1,0,,,
Aarhus,1,2,,,
Berlin,2,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""30"" height=""6.67"" fill=""#000""/><rect y=""6.67"" width=""30"" height=""6.67"" fill=""#d00""/><rect y=""13.34"" width=""30"" height=""6.66"" fill=""#fc0""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">350 km</text></svg>",350 km
København,2,0,,,
Aarhus,2,2,,,
"Branæs, Sverige",3,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""30"" height=""20"" fill=""#006aa7""/><rect x=""10"" width=""4"" height=""20"" fill=""#fecc02""/><rect y=""8"" width=""30"" height=""4"" fill=""#fecc02""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">480 km</text></svg>",480 km
København,3,0,,,
Aarhus,3,2,,,
Island,4,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""30"" height=""20"" fill=""#003897""/><rect x=""8"" width=""5"" height=""20"" fill=""#fff""/><rect y=""7.5"" width=""30"" height=""5"" fill=""#fff""/><rect x=""9.5"" width=""2"" height=""20"" fill=""#d72828""/><rect y=""9"" width=""30"" height=""2"" fill=""#d72828""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">2 100 km</text></svg>",2 100 km
København,4,0,,,
Aarhus,4,2,,,
Budapest,5,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""30"" height=""6.67"" fill=""#ce2939""/><rect y=""6.67"" width=""30"" height=""6.67"" fill=""#fff""/><rect y=""13.34"" width=""30"" height=""6.66"" fill=""#477050""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">1 010 km</text></svg>",1 010 km
København,5,0,,,
Aarhus,5,2,,,
Italien,6,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""10"" height=""20"" fill=""#009246""/><rect x=""10"" width=""10"" height=""20"" fill=""#fff""/><rect x=""20"" width=""10"" height=""20"" fill=""#ce2b37""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">1 530 km</text></svg>",1 530 km
København,6,0,,,
Aarhus,6,2,,,
Grækenland,7,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""30"" height=""20"" fill=""#0d5eaf""/><rect y=""2.22"" width=""30"" height=""2.22"" fill=""#fff""/><rect y=""6.66"" width=""30"" height=""2.22"" fill=""#fff""/><rect y=""11.1"" width=""30"" height=""2.22"" fill=""#fff""/><rect y=""15.54"" width=""30"" height=""2.22"" fill=""#fff""/><rect width=""11"" height=""11.1"" fill=""#0d5eaf""/><rect x=""4"" width=""3"" height=""11.1"" fill=""#fff""/><rect y=""4.05"" width=""11"" height=""3"" fill=""#fff""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">2 140 km</text></svg>",2 140 km
København,7,0,,,
Aarhus,7,2,,,
Portugal,8,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""12"" height=""20"" fill=""#046a38""/><rect x=""12"" width=""18"" height=""20"" fill=""#da291c""/><circle cx=""12"" cy=""10"" r=""3.5"" fill=""#f7d117""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">2 500 km</text></svg>",2 500 km
København,8,0,,,
Aarhus,8,2,,,
Kroatien,9,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""30"" height=""6.67"" fill=""#ff0000""/><rect y=""6.67"" width=""30"" height=""6.67"" fill=""#fff""/><rect y=""13.34"" width=""30"" height=""6.66"" fill=""#171796""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">1 120 km</text></svg>",1 120 km
København,9,0,,,
Aarhus,9,2,,,
Krakow,10,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""30"" height=""10"" fill=""#fff""/><rect y=""10"" width=""30"" height=""10"" fill=""#dc143c""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">800 km</text></svg>",800 km
København,10,0,,,
Aarhus,10,2,,,
Tirana,11,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""30"" height=""20"" fill=""#e41e20""/><path d=""M15 3L11 6L9 4.5L10.5 8.5L7.5 10.5L12 10.5L10.5 15L15 12L19.5 15L18 10.5L22.5 10.5L19.5 8.5L21 4.5L19 6Z"" fill=""#000""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">1 680 km</text></svg>",1 680 km
København,11,0,,,
Aarhus,11,2,,,
Fyn,12,1,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 30 20""><rect width=""30"" height=""20"" fill=""#c60c30""/><rect x=""10"" width=""4"" height=""20"" fill=""#fff""/><rect y=""8"" width=""30"" height=""4"" fill=""#fff""/></svg>","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 60 14""><rect width=""60"" height=""14"" fill=""#f7f7f7"" rx=""2""/><text x=""30"" y=""10"" text-anchor=""middle"" dominant-baseline=""auto"" font-size=""9"" font-family=""sans-serif"" font-weight=""bold"" fill=""#222"">140 km</text></svg>",140 km
København,12,0,,,
Aarhus,12,2,,,
